Absorber,Thickness,Defect,Donor_density,PCE,,,
CsPbI3,0.4,100000000000000,100000000000,11.2670206,,,
CsPbI3,0.4,100000000000000,1000000000000,11.2669642,,,
CsPbI3,0.4,100000000000000,10000000000000,11.2663991,,,
CsPbI3,0.4,100000000000000,100000000000000,11.2606412,,,
CsPbI3,0.4,100000000000000,1E15,11.18996,,,
CsPbI3,0.4,1E15,10000000000,10.3061021,,,
CsPbI3,0.4,1E15,100000000000,10.3060896,,,
CsPbI3,0.4,1E15,1000000000000,10.3059651,,,
CsPbI3,0.4,1E15,10000000000000,10.3047182,,,
CsPbI3,0.4,1E15,100000000000000,10.2920381,,,
CsPbI3,0.4,1E15,1E15,10.1415544,,,
CsPbI3,0.4,1E16,10000000000,8.85333771,,,
CsPbI3,0.4,1E16,100000000000,8.85333114,,,
CsPbI3,0.4,1E16,1000000000000,8.85326538,,,
CsPbI3,0.4,1E16,10000000000000,8.85260423,,,
CsPbI3,0.4,1E16,100000000000000,8.84562218,,,
CsPbI3,0.4,1E16,1E15,8.72464829,,,
CsPbI3,0.5,1000000000000,10000000000,12.2695312,,,
CsPbI3,0.5,1000000000000,100000000000,12.2695309,,,
CsPbI3,0.5,1000000000000,1000000000000,12.2695282,,,
CsPbI3,0.5,1000000000000,10000000000000,12.269501,,,
CsPbI3,0.5,1000000000000,100000000000000,12.2692586,,,
CsPbI3,0.5,1000000000000,1E15,12.2657256,,,
CsPbI3,0.5,10000000000000,10000000000,12.22688,,,
CsPbI3,0.5,10000000000000,100000000000,12.2268786,,,
CsPbI3,0.5,10000000000000,1000000000000,12.2268639,,,
CsPbI3,0.5,10000000000000,10000000000000,12.2267164,,,
CsPbI3,0.5,10000000000000,100000000000000,12.225245,,,
CsPbI3,0.5,10000000000000,1E15,12.2073068,,,
CsPbI3,0.5,100000000000000,10000000000,11.8822299,,,
CsPbI3,0.5,100000000000000,100000000000,11.8822202,,,
CsPbI3,0.5,100000000000000,1000000000000,11.8821239,,,
CsPbI3,0.5,100000000000000,10000000000000,11.8811586,,,
CsPbI3,0.5,100000000000000,100000000000000,11.8713235,,,
CsPbI3,0.5,100000000000000,1E15,11.7493585,,,
CsPbI3,0.5,1E15,10000000000,10.7372506,,,
CsPbI3,0.5,1E15,100000000000,10.7372331,,,
CsPbI3,0.5,1E15,1000000000000,10.7370579,,,
CsPbI3,0.5,1E15,10000000000000,10.7353028,,,
CsPbI3,0.5,1E15,100000000000000,10.7174115,,,
CsPbI3,0.5,1E15,1E15,10.4876756,,,
CsPbI3,0.5,1E16,10000000000,9.11747336,,,
CsPbI3,0.5,1E16,100000000000,9.11746621,,,
CsPbI3,0.5,1E16,1000000000000,9.11739464,,,
CsPbI3,0.5,1E16,10000000000000,9.11667323,,,
CsPbI3,0.5,1E16,100000000000000,9.10889386,,,
CsPbI3,0.5,1E16,1E15,8.92528031,,,
CsPbI3,0.6,1000000000000,10000000000,12.7634708,,,
CsPbI3,0.6,1000000000000,100000000000,12.7634704,,,
CsPbI3,0.6,1000000000000,1000000000000,12.7634665,,,
CsPbI3,0.6,1000000000000,10000000000000,12.763427,,,
CsPbI3,0.6,1000000000000,100000000000000,12.7630503,,,
CsPbI3,0.6,1000000000000,1E15,12.7577125,,,
CsPbI3,0.6,10000000000000,10000000000,12.7076091,,,
CsPbI3,0.6,10000000000000,100000000000,12.7076069,,,
CsPbI3,0.6,10000000000000,1000000000000,12.7075847,,,
CsPbI3,0.6,10000000000000,10000000000000,12.7073619,,,
CsPbI3,0.6,10000000000000,100000000000000,12.7051009,,,
CsPbI3,0.6,10000000000000,1E15,12.6776814,,,
CsPbI3,0.6,100000000000000,10000000000,12.2783032,,,
CsPbI3,0.6,100000000000000,100000000000,12.2782895,,,
CsPbI3,0.6,100000000000000,1000000000000,12.2781525,,,
CsPbI3,0.6,100000000000000,10000000000000,12.2767782,,,
CsPbI3,0.6,100000000000000,100000000000000,12.262657,,,
CsPbI3,0.6,100000000000000,1E15,12.0789839,,,
CsPbI3,0.6,1E15,10000000000,10.9979516,,,
CsPbI3,0.6,1E15,100000000000,10.9979297,,,
CsPbI3,0.6,1E15,1000000000000,10.9977102,,,
CsPbI3,0.6,1E15,10000000000000,10.9932706,,,
CsPbI3,0.6,1E15,100000000000000,10.9707742,,,
CsPbI3,0.6,1E15,1E15,10.6614758,,,
CsPbI3,0.6,1E16,10000000000,9.24816455,,,
CsPbI3,0.6,1E16,100000000000,9.24815713,,,
CsPbI3,0.6,1E16,1000000000000,9.24808282,,,
CsPbI3,0.6,1E16,10000000000000,9.24733355,,,
CsPbI3,0.6,1E16,100000000000000,9.23921595,,,
CsPbI3,0.6,1E16,1E15,8.99259592,,,
CsPbI3,0.7,1000000000000,10000000000,13.1109179,,,
CsPbI3,0.7,1000000000000,100000000000,13.1109174,,,
CsPbI3,0.7,1000000000000,1000000000000,13.1109121,,,
CsPbI3,0.7,1000000000000,10000000000000,13.1108593,,,
CsPbI3,0.7,1000000000000,100000000000000,13.1102713,,,
CsPbI3,0.7,1000000000000,1E15,13.1029498,,,
CsPbI3,0.7,10000000000000,10000000000,13.0420499,,,
CsPbI3,0.7,10000000000000,100000000000,13.0420469,,,
CsPbI3,0.7,10000000000000,1000000000000,13.0420167,,,
CsPbI3,0.7,10000000000000,10000000000000,13.0417137,,,
CsPbI3,0.7,10000000000000,100000000000000,13.0385426,,,
CsPbI3,0.7,10000000000000,1E15,13.0009346,,,
CsPbI3,0.7,100000000000000,10000000000,12.5373772,,,
CsPbI3,0.7,100000000000000,100000000000,12.5373597,,,
CsPbI3,0.7,100000000000000,1000000000000,12.5371844,,,
CsPbI3,0.7,100000000000000,10000000000000,12.5354254,,,
CsPbI3,0.7,100000000000000,100000000000000,12.5171748,,,
CsPbI3,0.7,100000000000000,1E15,12.2667839,,,
CsPbI3,0.7,1E15,10000000000,11.1528136,,,
CsPbI3,0.7,1E15,100000000000,11.1527887,,,
CsPbI3,0.7,1E15,1000000000000,11.15254,,,
CsPbI3,0.7,1E15,10000000000000,11.1500455,,,
CsPbI3,0.7,1E15,100000000000000,11.1243121,,,
CsPbI3,0.7,1E15,1E15,10.7363183,,,
CsPbI3,0.7,1E16,10000000000,9.31132698,,,
CsPbI3,0.7,1E16,100000000000,9.31131907,,,
CsPbI3,0.7,1E16,1000000000000,9.3112399,,,
CsPbI3,0.7,1E16,10000000000000,9.31044181,,,
CsPbI3,0.7,1E16,100000000000000,9.30174074,,,
CsPbI3,0.7,1E16,1E15,8.99039768,,,
CsPbI3,0.8,1000000000000,10000000000,13.3622104,,,
CsPbI3,0.8,1000000000000,100000000000,13.3622098,,,
CsPbI3,0.8,1000000000000,1000000000000,13.3622031,,,
CsPbI3,0.8,1000000000000,10000000000000,13.3621366,,,
CsPbI3,0.8,1000000000000,100000000000000,13.3614615,,,
CsPbI3,0.8,1000000000000,1E15,13.3517845,,,
CsPbI3,0.8,10000000000000,10000000000,13.2806228,,,
CsPbI3,0.8,10000000000000,100000000000,13.280619,,,
CsPbI3,0.8,10000000000000,1000000000000,13.2805807,,,
CsPbI3,0.8,10000000000000,10000000000000,13.2801964,,,
CsPbI3,0.8,10000000000000,100000000000000,13.2762307,,,
CsPbI3,0.8,10000000000000,1E15,13.2278382,,,
CsPbI3,0.8,100000000000000,10000000000,12.7088555,,,
CsPbI3,0.8,100000000000000,100000000000,12.7088345,,,
CsPbI3,0.8,100000000000000,1000000000000,12.7086248,,,
CsPbI3,0.8,100000000000000,10000000000000,12.7065196,,,
CsPbI3,0.8,100000000000000,100000000000000,12.6846682,,,
CsPbI3,0.8,100000000000000,1E15,12.3696045,,,
CsPbI3,0.8,1E15,10000000000,11.2457878,,,
CsPbI3,0.8,1E15,100000000000,11.2457607,,,
CsPbI3,0.8,1E15,1000000000000,11.245489,,,
CsPbI3,0.8,1E15,10000000000000,11.2427624,,,
CsPbI3,0.8,1E15,100000000000000,11.2145318,,,
CsPbI3,0.8,1E15,1E15,10.7558618,,,
CsPbI3,0.8,1E16,10000000000,9.33793521,,,
CsPbI3,0.8,1E16,100000000000,9.33792628,,,
CsPbI3,0.8,1E16,1000000000000,9.33783687,,,
CsPbI3,0.8,1E16,10000000000000,9.33693616,,,
CsPbI3,0.8,1E16,100000000000000,9.32723761,,,
CsPbI3,0.8,1E16,1E15,8.94516535,,,
CsPbI3,0.9,1000000000000,10000000000,13.5485035,,,
CsPbI3,0.9,1000000000000,100000000000,13.5485027,,,
CsPbI3,0.9,1000000000000,1000000000000,13.5484947,,,
CsPbI3,0.9,1000000000000,10000000000000,13.5484143,,,
CsPbI3,0.9,1000000000000,100000000000000,13.5475721,,,
CsPbI3,0.9,1000000000000,1E15,13.5356563,,,
CsPbI3,0.9,10000000000000,10000000000,13.4544943,,,
CsPbI3,0.9,10000000000000,100000000000,13.4544897,,,
CsPbI3,0.9,10000000000000,1000000000000,13.4544433,,,
CsPbI3,0.9,10000000000000,10000000000000,13.4539781,,,
CsPbI3,0.9,10000000000000,100000000000000,13.4491324,,,
CsPbI3,0.9,10000000000000,1E15,13.3900009,,,
CsPbI3,0.9,100000000000000,10000000000,12.8225941,,,
CsPbI3,0.9,100000000000000,100000000000,12.8225701,,,
CsPbI3,0.9,100000000000000,1000000000000,12.8223299,,,
CsPbI3,0.9,100000000000000,10000000000000,12.8199176,,,
CsPbI3,0.9,100000000000000,100000000000000,12.7947211,,,
CsPbI3,0.9,100000000000000,1E15,12.417997,,,
CsPbI3,0.9,1E15,10000000000,11.2972048,,,
CsPbI3,0.9,1E15,100000000000,11.2971758,,,
CsPbI3,0.9,1E15,1000000000000,11.2968858,,,
CsPbI3,0.9,1E15,10000000000000,11.2939739,,,
CsPbI3,0.9,1E15,100000000000000,11.2612308,,,
CsPbI3,0.9,1E15,1E15,10.737472,,,
CsPbI3,0.9,1E16,10000000000,9.34626041,,,
CsPbI3,0.9,1E16,100000000000,9.34625017,,,
CsPbI3,0.9,1E16,1000000000000,9.34614768,,,
CsPbI3,0.9,1E16,10000000000000,9.34511566,,,
CsPbI3,0.9,1E16,100000000000000,9.33400787,,,
CsPbI3,0.9,1E16,1E15,8.88166842,,,
CsPbI3,1,1000000000000,10000000000,13.689567,,,
CsPbI3,1,1000000000000,100000000000,13.689566,,,
CsPbI3,1,1000000000000,1000000000000,13.6895566,,,
CsPbI3,1,1000000000000,10000000000000,13.6894624,,,
CsPbI3,1,1000000000000,100000000000000,13.6885392,,,
CsPbI3,1,1000000000000,1E15,13.6743422,,,
CsPbI3,1,10000000000000,10000000000,13.5834091,,,
CsPbI3,1,10000000000000,100000000000,13.5834037,,,
CsPbI3,1,10000000000000,1000000000000,13.5833494,,,
CsPbI3,1,10000000000000,10000000000000,13.5828047,,,
CsPbI3,1,10000000000000,100000000000000,13.5771892,,,
CsPbI3,1,10000000000000,1E15,13.5072662,,,
CsPbI3,1,100000000000000,10000000000,12.8970868,,,
CsPbI3,1,100000000000000,100000000000,12.89706,,,
CsPbI3,1,100000000000000,1000000000000,12.8967927,,,
CsPbI3,1,100000000000000,10000000000000,12.8941075,,,
CsPbI3,1,100000000000000,100000000000000,12.8636671,,,
CsPbI3,1,100000000000000,1E15,12.4297599,,,
CsPbI3,1,1E15,10000000000,11.3189143,,,
CsPbI3,1,1E15,100000000000,11.3188843,,,
CsPbI3,1,1E15,1000000000000,11.3185842,,,
CsPbI3,1,1E15,10000000000000,11.3155727,,,
CsPbI3,1,1E15,100000000000000,11.2843986,,,
CsPbI3,1,1E15,1E15,10.7013851,,,
CsPbI3,1,1E16,10000000000,9.34589365,,,
CsPbI3,1,1E16,100000000000,9.34588207,,,
CsPbI3,1,1E16,1000000000000,9.34576616,,,
CsPbI3,1,1E16,10000000000000,9.34459927,,,
CsPbI3,1,1E16,100000000000000,9.33213316,,,
CsPbI3,1,1E16,1E15,8.80448512,,,
CsPbBr3,0.1,1000000000000,10000000000,2.59417667,,,
CsPbBr3,0.1,1000000000000,100000000000,2.5941763,,,
CsPbBr3,0.1,1000000000000,1000000000000,2.59417267,,,
CsPbBr3,0.1,1000000000000,10000000000000,2.59413631,,,
CsPbBr3,0.1,1000000000000,100000000000000,2.59377268,,,
CsPbBr3,0.1,1000000000000,1E15,2.5901336,,,
CsPbBr3,0.1,10000000000000,10000000000,2.59400188,,,
CsPbBr3,0.1,10000000000000,100000000000,2.59400152,,,
CsPbBr3,0.1,10000000000000,1000000000000,2.59399788,,,
CsPbBr3,0.1,10000000000000,10000000000000,2.59396146,,,
CsPbBr3,0.1,10000000000000,100000000000000,2.59359729,,,
CsPbBr3,0.1,10000000000000,1E15,2.58995263,,,
CsPbBr3,0.1,100000000000000,10000000000,2.59227341,,,
CsPbBr3,0.1,100000000000000,100000000000,2.59227304,,,
CsPbBr3,0.1,100000000000000,1000000000000,2.59226935,,,
CsPbBr3,0.1,100000000000000,10000000000000,2.59223242,,,
CsPbBr3,0.1,100000000000000,100000000000000,2.591863,,,
CsPbBr3,0.1,100000000000000,1E15,2.58816393,,,
CsPbBr3,0.1,1E15,10000000000,2.57661459,,,
CsPbBr3,0.1,1E15,100000000000,2.57661418,,,
CsPbBr3,0.1,1E15,1000000000000,2.57661007,,,
CsPbBr3,0.1,1E15,10000000000000,2.57656899,,,
CsPbBr3,0.1,1E15,100000000000000,2.57615804,,,
CsPbBr3,0.1,1E15,1E15,2.57202927,,,
CsPbBr3,0.1,1E16,10000000000,2.48418693,,,
CsPbBr3,0.1,1E16,100000000000,2.48418638,,,
CsPbBr3,0.1,1E16,1000000000000,2.48418081,,,
CsPbBr3,0.1,1E16,10000000000000,2.48412517,,,
CsPbBr3,0.1,1E16,100000000000000,2.48356826,,,
CsPbBr3,0.1,1E16,1E15,2.4779479,,,
CsPbBr3,0.2,1000000000000,10000000000,3.48075266,,,
CsPbBr3,0.2,1000000000000,100000000000,3.48075227,,,
CsPbBr3,0.2,1000000000000,1000000000000,3.48074831,,,
CsPbBr3,0.2,1000000000000,10000000000000,3.48070872,,,
CsPbBr3,0.2,1000000000000,100000000000000,3.48031178,,,
CsPbBr3,0.2,1000000000000,1E15,3.47624296,,,
CsPbBr3,0.2,10000000000000,10000000000,3.479544,,,
CsPbBr3,0.2,10000000000000,100000000000,3.47954359,,,
CsPbBr3,0.2,10000000000000,1000000000000,3.47953953,,,
CsPbBr3,0.2,10000000000000,10000000000000,3.47949891,,,
CsPbBr3,0.2,10000000000000,100000000000000,3.47909159,,,
CsPbBr3,0.2,10000000000000,1E15,3.47490743,,,
CsPbBr3,0.2,100000000000000,10000000000,3.46793755,,,
CsPbBr3,0.2,100000000000000,100000000000,3.46793705,,,
CsPbBr3,0.2,100000000000000,1000000000000,3.46793205,,,
CsPbBr3,0.2,100000000000000,10000000000000,3.46788204,,,
CsPbBr3,0.2,100000000000000,100000000000000,3.46737991,,,
CsPbBr3,0.2,100000000000000,1E15,3.46214639,,,
CsPbBr3,0.2,1E15,10000000000,3.3822571,,,
CsPbBr3,0.2,1E15,100000000000,3.38225611,,,
CsPbBr3,0.2,1E15,1000000000000,3.38224617,,,
CsPbBr3,0.2,1E15,10000000000000,3.38214673,,,
CsPbBr3,0.2,1E15,100000000000000,3.38114592,,,
CsPbBr3,0.2,1E15,1E15,3.37046516,,,
CsPbBr3,0.2,1E16,10000000000,3.10946529,,,
CsPbBr3,0.2,1E16,100000000000,3.10946383,,,
CsPbBr3,0.2,1E16,1000000000000,3.10944926,,,
CsPbBr3,0.2,1E16,10000000000000,3.10930334,,,
CsPbBr3,0.2,1E16,100000000000000,3.10783021,,,
CsPbBr3,0.2,1E16,1E15,3.09165911,,,
CsPbBr3,0.3,1000000000000,10000000000,4.06618106,,,
CsPbBr3,0.3,1000000000000,100000000000,4.06618069,,,
